text_summary,label_id
"Description: Automatic conversion of the NetBSD pkgsrc CVS module, use with care. Primary language: Makefile. very large codebase. 388 stars (good visibility). 178 forks (notable community interest). 54 contributors (large team). 1000 commits in last 90 days (~333.33/month, high activity). updated today. 9.1 years old (mature repository). No merged pull requests recorded. No formal releases. 26 open issues (active issue tracking). No CI/CD workflows detected. detailed README (2840 chars). Wiki enabled. Engagement ratio (stars+2*forks+watchers per day of age): 0.34. Combined engineering signals: multi-contributor team, no automated CI/CD, no visible PR-review workflow, no formal releases, wiki enabled, no topics declared, mature and currently active.",2
"Description: A keyboard firmware for sinowealth-8051-based devices. Primary language: C. Topics: 8051, air60, byk916, nuphy, sh68f90a, sinowealth, smk, byk901, eyooso, z11, firmware, keyboard-firmware. small codebase. 122 stars (good visibility). 19 forks (modest community interest). solo project (1 contributor). 2 commits in last 90 days (~0.67/month, very low activity). updated today. 2.6 years old (mature repository). 6 merged pull requests. No formal releases. 15 open issues (active issue tracking). Has CI/CD workflows configured. detailed README (3103 chars). Has an open source license. Engagement ratio (stars+2*forks+watchers per day of age): 0.2913. Combined engineering signals: solo developer, automated CI/CD pipeline, some PR review activity, no formal releases, extensive documentation, open-source license, well-tagged with topics, mature and currently active.",4
"Description: Trezor Suite Monorepo. Primary language: TypeScript. Topics: trezor, web, wallet, suite, electron, bitcoin, typescript, cryptography, cryptocurrency. very large codebase. 1011 stars (high visibility). 362 forks (notable community interest). 152 contributors (large team). 1000 commits in last 90 days (~333.33/month, high activity). updated today. 7.7 years old (mature repository). 263 merged pull requests. 166 releases published. 1243 open issues (heavy issue activity). Has CI/CD workflows configured. detailed README (4107 chars). Wiki enabled. Has an open source license. Engagement ratio (stars+2*forks+watchers per day of age): 0.9758. Combined engineering signals: multi-contributor team, automated CI/CD pipeline, established PR-review workflow, regular release cadence, extensive documentation, wiki enabled, open-source license, well-tagged with topics, mature and currently active.",2
"Description: Utility for detecting phishing domains targeting Web3 users. Primary language: TypeScript. very large codebase. 1286 stars (high visibility). 1076 forks (widely reused project). 435 contributors (large team). 1000 commits in last 90 days (~333.33/month, high activity). updated today. 8.8 years old (mature repository). 298 merged pull requests. 3 releases published. 69 open issues (active issue tracking). Has CI/CD workflows configured. detailed README (2136 chars). GitHub Pages site published. Has an open source license. Engagement ratio (stars+2*forks+watchers per day of age): 1.4666. Combined engineering signals: multi-contributor team, automated CI/CD pipeline, established PR-review workflow, a few releases published, GitHub Pages site published, open-source license, no topics declared, mature and currently active.",2
"Description: Terraform Docker provider. Primary language: Go. Topics: hacktoberfest, terraform-provider, golang, docker. large codebase. 801 stars (good visibility). 210 forks (notable community interest). 113 contributors (large team). 56 commits in last 90 days (~18.67/month, moderate activity). updated today. 5.6 years old (mature repository). 208 merged pull requests. 46 releases published. 34 open issues (active issue tracking). Has CI/CD workflows configured. detailed README (7412 chars). Has an open source license. Engagement ratio (stars+2*forks+watchers per day of age): 0.9966. Combined engineering signals: multi-contributor team, automated CI/CD pipeline, established PR-review workflow, regular release cadence, extensive documentation, open-source license, well-tagged with topics, mature and currently active.",2
"Description: Donzo Militia GTA V Operations Database. Primary language: JavaScript. large codebase. no stars. no forks. solo project (1 contributor). 27 commits in last 90 days (~9.0/month, moderate activity). updated today. brand new repository (less than 1 week old). No merged pull requests recorded. No formal releases. no open issues. No CI/CD workflows detected. no README. Wiki enabled. Engagement ratio (stars+2*forks+watchers per day of age): 0.0. Combined engineering signals: solo developer, no automated CI/CD, no visible PR-review workflow, no formal releases, wiki enabled, no topics declared, young and actively developed.",1
"Description: One interface for your whole data stack, with built-in safeguards and a simpler workflow for your team. Written in Rust. Docker not needed.. Primary language: TypeScript. Topics: agent, claude-code, cli, codex, hermes, openclaw, rust, ai, ai-agents, openai, anthropic, chatgpt, claude, llm, self-hosted. large codebase. 6 stars (low visibility). no forks. 3 contributors (small team). 236 commits in last 90 days (~78.67/month, high activity). updated today. 59 days old (recent). 238 merged pull requests. 67 releases published. no open issues. Has CI/CD workflows configured. detailed README (5737 chars). Has an open source license. Engagement ratio (stars+2*forks+watchers per day of age): 0.2. Combined engineering signals: very small team, automated CI/CD pipeline, established PR-review workflow, regular release cadence, extensive documentation, open-source license, well-tagged with topics, young and actively developed.",2
"Primary language: Go. large codebase. 16 stars (low visibility). 3 forks (very few). solo project (1 contributor). 1000 commits in last 90 days (~333.33/month, high activity). updated today. 129 days old (recent). 52 merged pull requests. 7 releases published. 12 open issues (heavy issue activity). Has CI/CD workflows configured. detailed README (24098 chars). Wiki enabled. Engagement ratio (stars+2*forks+watchers per day of age): 0.2923. Combined engineering signals: solo developer, automated CI/CD pipeline, established PR-review workflow, a few releases published, extensive documentation, wiki enabled, no topics declared, young and actively developed.",4
"Description: TripleA is a turn based strategy game and board game engine, similar to Axis & Allies or Risk.. Primary language: Java. Topics: opensource, game, free, strategy-game, turn-based-strategy, strategy, world-war-2, good-first-issue. very large codebase. 1525 stars (high visibility). 464 forks (notable community interest). 75 contributors (large team). 155 commits in last 90 days (~51.67/month, high activity). updated today. 10.8 years old (mature repository). 283 merged pull requests. 4367 releases published. 190 open issues (heavy issue activity). Has CI/CD workflows configured. detailed README (3065 chars). Wiki enabled. Has an open source license. Engagement ratio (stars+2*forks+watchers per day of age): 1.0051. Combined engineering signals: multi-contributor team, automated CI/CD pipeline, established PR-review workflow, regular release cadence, extensive documentation, wiki enabled, open-source license, well-tagged with topics, mature and currently active.",2
"Description: UEFI memory diagnostic tool - 14 stress tests, per-chip stuck-bit mapping, MCA capture, marathon mode, plain-language verdict with DIMM warranty info. Primary language: C. Topics: c, ddr3, ddr4, ddr5, diagnostics, dram, efi, gnu-efi, hardware, low-level, memory-controller, memory-testing, memtest, spd, uefi. medium-sized codebase. 30 stars (moderate visibility). 2 forks (very few). solo project (1 contributor). 70 commits in last 90 days (~23.33/month, high activity). updated today. 8 days old (very recent). No merged pull requests recorded. 31 releases published. 1 open issues (heavy issue activity). No CI/CD workflows detected. detailed README (12889 chars). Wiki enabled. Has an open source license. Engagement ratio (stars+2*forks+watchers per day of age): 7.1111. Combined engineering signals: solo developer, no automated CI/CD, no visible PR-review workflow, regular release cadence, extensive documentation, wiki enabled, open-source license, well-tagged with topics, young and actively developed.",4
"Primary language: JavaScript. small codebase. no stars. no forks. 2 contributors (small team). 27 commits in last 90 days (~9.0/month, moderate activity). updated today. 34 days old (recent). No merged pull requests recorded. No formal releases. no open issues. No CI/CD workflows detected. detailed README (7560 chars). Engagement ratio (stars+2*forks+watchers per day of age): 0.0. Combined engineering signals: very small team, no automated CI/CD, no visible PR-review workflow, no formal releases, extensive documentation, no topics declared, young and actively developed.",1
"Description: Strict engineering discipline and multi-agent orchestration for the pi coding agent. Primary language: TypeScript. Topics: extensions, pi, pi-coding-agent. medium-sized codebase. 208 stars (good visibility). 19 forks (modest community interest). 3 contributors (small team). 429 commits in last 90 days (~143.0/month, high activity). updated today. 52 days old (recent). 29 merged pull requests. 62 releases published. no open issues. Has CI/CD workflows configured. detailed README (16583 chars). Wiki enabled. GitHub Pages site published. Engagement ratio (stars+2*forks+watchers per day of age): 8.566. Combined engineering signals: very small team, automated CI/CD pipeline, some PR review activity, regular release cadence, extensive documentation, wiki enabled, GitHub Pages site published, well-tagged with topics, young and actively developed.",4
"Description: Showcase Application to demonstrate features of Apache SkyWalking. Primary language: Makefile. Topics: skywalking. medium-sized codebase. 132 stars (good visibility). 77 forks (notable community interest). 29 contributors (large team). 41 commits in last 90 days (~13.67/month, moderate activity). updated today. 4.7 years old (mature repository). 239 merged pull requests. No formal releases. no open issues. Has CI/CD workflows configured. basic README (1348 chars). Has an open source license. Engagement ratio (stars+2*forks+watchers per day of age): 0.2436. Combined engineering signals: multi-contributor team, automated CI/CD pipeline, established PR-review workflow, no formal releases, open-source license, mature and currently active.",4
"Description: Collection of 2026 internships in Data-Analysis!. medium-sized codebase. 161 stars (good visibility). 7 forks (modest community interest). solo project (1 contributor). 1000 commits in last 90 days (~333.33/month, high activity). updated today. 1.8 years old (mature repository). No merged pull requests recorded. No formal releases. 1 open issues (issue tracker rarely used). No CI/CD workflows detected. detailed README (23570 chars). Wiki enabled. Engagement ratio (stars+2*forks+watchers per day of age): 0.525. Combined engineering signals: solo developer, no automated CI/CD, no visible PR-review workflow, no formal releases, extensive documentation, wiki enabled, no topics declared, mature and currently active.",1
"Description: 由 BTN 网络统计分析和维护的 BitTorrent 恶意/疑似恶意 IP 地址集合. Primary language: Python. Topics: bittorrent, blacklist, blocklist, ipfilter. large codebase. 547 stars (good visibility). 17 forks (modest community interest). 5 contributors (medium team). 1000 commits in last 90 days (~333.33/month, high activity). updated today. 2.1 years old (mature repository). 4 merged pull requests. No formal releases. 4 open issues (active issue tracking). Has CI/CD workflows configured. detailed README (5999 chars). Wiki enabled. Has an open source license. Engagement ratio (stars+2*forks+watchers per day of age): 1.4823. Combined engineering signals: multi-contributor team, automated CI/CD pipeline, some PR review activity, no formal releases, extensive documentation, wiki enabled, open-source license, well-tagged with topics, mature and currently active.",4
